,0
0,0.5130815
1,0.5320915
2,-1.024317
3,-1.1156878
4,-1.1307297
5,-1.0316402
6,0.6869669
7,-0.8981845
8,0.51781964
9,-1.2131672
10,-0.86611927
11,0.47479922
12,-0.97080505
13,0.5699588
14,0.46622804
15,0.47724867
16,0.49569583
17,0.047833458
18,-1.2351952
19,0.40369338
20,-0.10725662
21,-0.6273111
22,-1.2213775
23,0.6911557
24,-0.6760987
25,-1.1479629
26,0.5494863
27,0.27039665
28,-1.1874677
29,0.40243977
30,-1.1756977
31,-0.66831833
32,-0.70421374
33,0.14311507
34,0.20229416
35,0.013709083
36,0.5226309
37,-1.2475361
38,0.49420235
39,0.54939216
40,0.53116477
41,-1.2196486
42,0.6071399
43,-0.6854374
44,-1.0310915
45,-1.0726469
46,-1.1500084
47,-1.1989737
48,-0.6391888
49,-0.63666916
50,0.43983406
51,-0.669239
52,0.6901386
53,-0.9300489
54,-0.7389679
55,-0.63708967
56,-0.6701601
57,0.11022554
58,0.40412045
59,0.03319834
60,0.017743424
61,0.4869979
62,0.19070065
63,0.29655337
64,-1.2507336
65,-1.233858
66,0.42500943
67,0.2141695
68,-1.0743178
69,0.06837948
70,0.67734146
71,0.68471694
72,-0.008006796
73,-0.83110446
74,0.6436569
75,-1.2463592
76,-0.7872245
77,-0.85646135
78,-0.70498
79,0.10947661
80,-0.980488
81,0.5581504
82,0.4579426
83,-1.2217605
84,0.5508314
85,-0.11524784
86,-1.1233629
87,0.4923446
88,0.5334409
89,-0.6530547
90,-0.69049865
91,-0.66196585
92,-1.0696725
93,0.5079487
94,-0.52844054
95,0.3851349
96,0.53579646
97,-0.92840856
98,0.044142276
99,-1.1179483
