,0
0,1.0899652
1,1.0038003
2,-0.4752162
3,-0.6671425
4,-0.5654916
5,-0.3201751
6,1.1613655
7,-0.41296822
8,0.95891577
9,-0.64132684
10,-0.13064706
11,0.9227603
12,-0.32418764
13,1.0874813
14,1.1224179
15,0.95479906
16,1.1670542
17,0.54803073
18,-0.6787303
19,0.9966175
20,0.6593469
21,-0.13695514
22,-0.7084878
23,1.1648699
24,-0.10130723
25,-0.59054375
26,1.1336502
27,0.8636329
28,-0.636619
29,1.0445613
30,-0.68251383
31,-0.2613734
32,-0.06928429
33,0.7141386
34,0.75402117
35,0.5340775
36,0.97902447
37,-0.62354195
38,1.0849748
39,0.975528
40,0.96945035
41,-0.71477395
42,1.1776859
43,-0.12266812
44,-0.47395396
45,-0.5497175
46,-0.59686476
47,-0.6954398
48,-0.15507534
49,-0.1582311
50,0.8900452
51,-0.24468984
52,1.1492732
53,-0.43807572
54,-0.3242032
55,-0.19284758
56,-0.25572252
57,0.6528465
58,0.88116753
59,0.56030977
60,0.62300074
61,0.9685169
62,0.7731071
63,0.8192295
64,-0.6657523
65,-0.7094373
66,1.1429241
67,0.75946647
68,-0.39083412
69,0.63639176
70,1.1542056
71,1.1517503
72,0.47577253
73,-0.38992375
74,1.1654183
75,-0.6307058
76,-0.3760724
77,-0.38364524
78,-0.13467692
79,0.70628846
80,-0.45022482
81,0.9961433
82,1.1265683
83,-0.7130795
84,0.9807388
85,0.63977695
86,-0.5632692
87,1.1079181
88,1.0246257
89,-0.07525878
90,-0.074999586
91,-0.124160945
92,-0.5018499
93,1.1757152
94,-0.08684163
95,0.8599789
96,0.9933713
97,-0.24221669
98,0.63890785
99,-0.6779519
