,0
0,1.0130869
1,0.7377164
2,0.06779067
3,-0.4381446
4,-0.82578605
5,0.8362479
6,-0.9468129
7,-0.520314
8,-0.18471795
9,-0.85401416
10,-0.67915374
11,-0.44620225
12,0.7787075
13,-1.2993118
14,0.614733
15,-0.36998278
16,0.9114827
17,-0.6880762
18,-0.505613
19,-1.0641377
20,-1.1506766
21,1.1101581
22,0.45792517
23,-0.9420466
24,1.0538578
25,-0.6979278
26,0.9890057
27,0.62403977
28,-0.5998016
29,0.73285824
30,0.8338181
31,0.93173766
32,-0.19350404
33,0.39972055
34,-0.9728792
35,0.8938192
36,1.1015346
37,0.72517806
38,-0.94139117
39,0.95871043
40,-0.7382414
41,-0.07346317
42,-0.65465164
43,0.4607254
44,-0.7890635
45,0.850241
46,-0.6591866
47,0.5871897
48,0.74822927
49,0.9752466
50,-0.16868809
51,-1.0415686
52,0.86419445
53,0.93405557
54,0.35652545
55,0.6748919
56,-0.6335667
57,-0.020907842
58,1.0057251
59,0.633235
60,1.0447961
61,1.0516893
62,-0.43942395
63,-0.4197461
64,-0.66516197
65,-0.47936115
66,0.8119938
67,-0.6665566
68,0.938153
69,0.9714737
70,0.9936505
71,1.1983347
72,0.50372976
73,0.7458861
74,0.8598966
75,0.97725207
76,0.7503032
77,-0.4435557
78,-0.4340789
79,0.15384439
80,0.35490787
81,0.32656267
82,0.9782875
83,0.31520626
84,-0.5971461
85,-0.71764684
86,1.0105805
87,-0.89558303
88,-0.6099002
89,1.2242696
90,0.50321925
91,1.0543957
92,-0.9395739
93,0.5512239
94,0.6146434
95,0.33962226
96,-0.9651824
97,0.74487615
98,0.6195769
99,0.9400015
