,0
0,-0.48412037
1,-0.7990743
2,1.0509279
3,0.24603029
4,0.3688937
5,-0.7133002
6,-0.7998516
7,-0.42329645
8,-0.38840106
9,0.4337566
10,-0.17725705
11,-0.76799345
12,1.1602665
13,0.87067753
14,1.1830889
15,1.1098601
16,0.4460906
17,-0.61065316
18,-0.67633253
19,-0.82787997
20,0.66921467
21,0.94003683
22,0.6598011
23,-0.4275918
24,0.7720541
25,-0.29879653
26,-0.29134426
27,-0.73744714
28,0.62042725
29,0.58911204
30,-0.444658
31,0.89268434
32,0.9235787
33,0.4539884
34,0.34670126
35,1.0952072
36,-0.84472275
37,0.23104498
38,0.07422708
39,-0.54881513
40,1.1158856
41,0.35012084
42,-0.8286381
43,0.58089274
44,1.1018159
45,0.8927328
46,-0.66219974
47,0.9233573
48,0.61435455
49,0.6302075
50,-0.6205838
51,0.43439013
52,1.1116234
53,0.3922068
54,-0.81207275
55,0.44329035
56,-0.4869274
57,1.040545
58,-0.68023974
59,0.47926885
60,0.53629214
61,0.44806206
62,-0.58904195
63,1.1742016
64,0.6343725
65,1.1756086
66,1.1950805
67,-0.64086306
68,0.94896054
69,-0.68172014
70,-0.44197285
71,-0.44486406
72,1.1314638
73,0.96124345
74,-0.5794032
75,0.4097169
76,0.48153102
77,0.060812056
78,-0.6237169
79,0.6171235
80,0.5350544
81,0.5771953
82,-0.47955945
83,0.3594039
84,0.33704945
85,-0.8354302
86,1.0139093
87,-0.76497185
88,1.0246632
89,0.94673806
90,0.24780223
91,0.7296285
92,-0.17414385
93,-0.4518661
94,-0.7479539
95,0.76037925
96,1.1729544
97,0.33645624
98,0.7341893
99,-0.837475
