,0
0,0.59334946
1,0.8518214
2,-1.1901195
3,-2.7910178
4,0.5371671
5,3.0905046
6,0.25836563
7,0.3957696
8,-0.8001425
9,-0.90501523
10,0.4917462
11,-0.14787412
12,-0.60246754
13,-2.9942234
14,-1.7143147
15,2.0119128
16,-2.580794
17,-0.6658609
18,2.258045
19,2.0537224
20,-0.05012226
21,1.7926918
22,-2.4453185
23,2.0670538
24,0.27417612
25,-0.08441281
26,-0.23510623
27,-1.68625
28,2.631658
29,-3.078519
30,0.82801366
31,-1.8318226
32,-0.48565745
33,-0.19953847
34,-0.7056143
35,-3.0731347
36,0.46053362
37,1.1976035
38,-0.67152786
39,2.4232268
40,-0.4925959
41,0.61597157
42,0.60839915
43,-3.0763376
44,0.36823297
45,-1.387758
46,2.981109
47,-0.02736783
48,-2.07666
49,2.4110208
50,0.7517593
51,2.232078
52,2.0298128
53,3.0959036
54,0.9882095
55,-2.8920405
56,-0.34117365
57,2.9501193
58,1.3279245
59,0.0027470589
60,0.25772643
61,-1.0117743
62,-2.7846334
63,1.3151639
64,1.1416023
65,-2.1326945
66,-2.017667
67,-2.8275774
68,1.4074379
69,2.8495934
70,0.56312823
71,-1.8438547
72,0.25765777
73,2.9942489
74,2.1492207
75,0.9171486
76,0.01412797
77,1.161692
78,-1.9009063
79,-0.3217094
80,1.3261048
81,-1.0255401
82,0.43962026
83,-0.4335642
84,1.911497
85,-2.1335065
86,1.5997596
87,-1.5247204
88,-1.7247179
89,-1.9599607
90,3.0672216
91,2.545763
92,1.7528049
93,1.2123318
94,2.6928947
95,1.7474394
96,1.7704947
97,3.1262028
98,-1.6077454
99,-0.2529776
