,0
0,1.5917904
1,2.251406
2,-2.1728714
3,-1.1304476
4,-1.9858148
5,-0.45883775
6,1.3573109
7,-2.329579
8,2.3188484
9,-1.2479784
10,-0.34050655
11,2.398702
12,-0.62527776
13,1.531751
14,1.7143041
15,0.82960415
16,1.9143999
17,0.41704583
18,-1.5181034
19,0.91781425
20,3.0802684
21,-2.9078624
22,-1.7148945
23,1.292435
24,-3.000725
25,-1.9450953
26,2.0371962
27,0.18564272
28,-1.8849308
29,0.933316
30,-1.1791723
31,-2.6722753
32,-3.0527103
33,0.4816172
34,0.50277543
35,0.023425102
36,0.76858807
37,-1.2945459
38,1.6286873
39,0.7269931
40,0.74654603
41,-1.6872876
42,1.2029717
43,-0.25054336
44,-2.1608999
45,-0.9753425
46,-1.9346302
47,-1.699538
48,-0.19223809
49,-0.2084496
50,2.470713
51,-2.690048
52,1.3270578
53,-0.83063483
54,-2.529917
55,-2.7714922
56,-2.6836798
57,0.05372405
58,2.5249958
59,0.39768052
60,0.34420538
61,0.8211658
62,0.21664262
63,2.6456177
64,-1.5063889
65,-1.5935986
66,1.0097759
67,2.743664
68,-0.51787543
69,0.30221367
70,1.3585097
71,1.3104024
72,0.0060527325
73,-2.4079268
74,1.2471377
75,-1.2758563
76,-2.4711688
77,-2.3913524
78,-0.268214
79,0.47014856
80,-0.85559344
81,0.69085574
82,1.6979059
83,-1.717974
84,0.74609303
85,3.0878322
86,-2.0040162
87,1.6576828
88,2.2156484
89,-3.0147078
90,-3.0360382
91,-2.9418333
92,-0.91933227
93,1.9414115
94,-0.13934922
95,2.5467443
96,2.2403731
97,-0.39122987
98,0.31446195
99,-1.1366575
