,0
0,1.0138721
1,0.7395218
2,-0.8509463
3,-0.67551404
4,-1.1113535
5,-0.42555326
6,0.82888126
7,-0.520444
8,0.70497745
9,-1.1266224
10,-0.3346404
11,0.72011405
12,-0.62327445
13,0.8950668
14,0.8681273
15,0.6529606
16,0.97400767
17,0.38082835
18,-1.0596532
19,0.8356523
20,0.046776675
21,-0.26882675
22,-0.97175914
23,1.0086884
24,-0.25962412
25,-0.89654285
26,1.0147133
27,0.21913081
28,-1.1085925
29,0.6959324
30,-1.0039313
31,-0.54659545
32,-0.21935764
33,0.56085134
34,0.47760782
35,-0.059094433
36,0.65219253
37,-1.1937071
38,1.0547086
39,0.594171
40,0.7721957
41,-1.072854
42,0.72545624
43,-0.2966903
44,-0.7263092
45,-0.7634486
46,-1.0905772
47,-0.82513887
48,-0.22847578
49,-0.11703298
50,0.5673548
51,-0.4253188
52,0.8082006
53,-0.6567778
54,-0.6700989
55,-0.47155082
56,-0.47446752
57,0.008081548
58,0.7070067
59,0.42803732
60,0.48095745
61,0.6464616
62,0.17638278
63,0.5483322
64,-0.9691182
65,-1.005253
66,0.6455668
67,0.25036594
68,-0.5620383
69,0.37269136
70,0.93570125
71,0.89201707
72,-0.002777779
73,-0.7561727
74,0.9278362
75,-0.9829641
76,-0.7259416
77,-0.6853924
78,-0.17017698
79,0.67725813
80,-0.78704315
81,0.5751619
82,1.035898
83,-0.8911481
84,0.5752966
85,-0.042112395
86,-0.9184129
87,0.93685114
88,0.69817406
89,-0.1563934
90,-0.2911075
91,-0.252347
92,-0.8833382
93,0.85071915
94,-0.27313137
95,0.81435376
96,0.829889
97,-0.35234588
98,0.30475742
99,-0.87836695
