,0
0,0.65211374
1,0.3939169
2,-0.66553843
3,-0.88020664
4,-0.9426043
5,0.5392458
6,-1.1466507
7,-0.8623744
8,-0.96155274
9,-1.2792888
10,-1.1157441
11,-0.88580215
12,0.8048147
13,-1.2722441
14,0.7412056
15,-0.7462663
16,0.45121032
17,-0.9703697
18,-0.84607494
19,-1.0763004
20,-1.2473707
21,0.64651823
22,-0.026674658
23,-1.0938652
24,0.7017862
25,-0.96346164
26,0.73211956
27,0.44147074
28,-0.9378139
29,0.6098849
30,0.39134333
31,0.634994
32,-0.93949354
33,0.10168713
34,-1.1942561
35,0.6331553
36,0.7825359
37,0.406438
38,-1.009844
39,0.67180246
40,-1.168817
41,-1.0516087
42,-0.80988765
43,0.09486611
44,-1.2262303
45,0.83536345
46,-0.8564023
47,0.2859428
48,0.12991628
49,0.8656942
50,-0.71788794
51,-1.1522365
52,0.6495203
53,0.7192185
54,-0.040517718
55,0.40247825
56,-0.9828508
57,-0.77042043
58,0.78545654
59,0.591957
60,0.6527226
61,0.6566181
62,-0.6556601
63,-0.68960655
64,-0.91078496
65,-0.867052
66,0.87506217
67,-0.9493951
68,0.7886553
69,0.89385384
70,0.6762415
71,0.7905421
72,-0.026063718
73,0.17485696
74,0.43006524
75,0.80946565
76,0.3772394
77,-0.6757481
78,-0.91781336
79,-0.12631322
80,0.032481372
81,-0.113882154
82,0.5652607
83,-0.07776817
84,-0.90763444
85,-0.9229928
86,0.80740935
87,-1.2181373
88,-0.8585316
89,0.7856503
90,0.10572167
91,0.81717956
92,-1.2904139
93,0.39779475
94,0.30889782
95,-0.15880705
96,-1.235725
97,0.59712505
98,0.34094262
99,0.51978904
