,0
0,1.1955708
1,1.0188655
2,0.04175292
3,-0.15845186
4,-0.29100576
5,1.1267217
6,-0.4956227
7,-0.19076987
8,-0.080474794
9,-0.6248494
10,-0.49258673
11,-0.12902653
12,1.4137682
13,-0.6135386
14,1.3274156
15,-0.057605434
16,1.0838938
17,-0.31223103
18,-0.17160544
19,-0.46410033
20,-0.60166794
21,1.2904409
22,0.91464895
23,-0.46831533
24,1.2434053
25,-0.31350693
26,1.280968
27,1.0421824
28,-0.25818244
29,1.1949632
30,1.0321357
31,1.212895
32,-0.08723919
33,0.8153833
34,-0.5618442
35,1.1938132
36,1.3948323
37,1.0328786
38,-0.37506557
39,1.2297447
40,-0.58550847
41,-0.018215366
42,-0.14156444
43,0.8476441
44,-0.53498983
45,1.5215913
46,-0.18931845
47,0.99182
48,0.8381146
49,1.58283
50,0.045336984
51,-0.5360372
52,1.1991235
53,1.3192499
54,0.91041017
55,1.0382953
56,-0.33011147
57,0.13353984
58,1.3839033
59,1.1752387
60,1.2056832
61,1.1979699
62,-0.042027563
63,-0.05311227
64,-0.24158522
65,-0.18345112
66,1.6195438
67,-0.29236004
68,1.3816423
69,1.5772903
70,1.1981143
71,1.3494048
72,0.9550184
73,0.8846286
74,1.0584226
75,1.4440196
76,1.019398
77,-0.049928565
78,-0.10373833
79,1.1632149
80,0.9315277
81,0.7423995
82,1.1379105
83,1.0295795
84,-0.24688889
85,-0.22067878
86,1.3850558
87,-0.58478653
88,-0.16234472
89,1.3509123
90,0.9091289
91,1.3869475
92,-0.67079496
93,1.0293831
94,0.994636
95,0.72554976
96,-0.70732665
97,1.1656152
98,0.99084425
99,1.1434362
