,0
0,1.9050701
1,2.3222911
2,0.17723632
3,-2.720514
4,-2.2754738
5,2.0995975
6,-1.708143
7,-0.5855422
8,-2.9318173
9,-1.3532712
10,-0.9306476
11,-2.7739656
12,1.5072246
13,-1.3849828
14,0.92671156
15,-0.51747966
16,2.23918
17,-2.1293042
18,-0.56596804
19,-1.8086116
20,-1.4575794
21,0.8839178
22,0.3446982
23,-1.8056948
24,1.8129032
25,-2.1505954
26,1.681331
27,2.2660885
28,-0.7696457
29,1.98311
30,2.3465884
31,1.9192554
32,-2.9046376
33,2.6981914
34,-1.5625708
35,1.9557832
36,1.5114932
37,2.3047945
38,-1.9965813
39,1.8527555
40,-0.9806316
41,-3.075568
42,-0.55062246
43,2.677245
44,-1.5288379
45,1.0235469
46,-2.5221002
47,2.4353926
48,2.634869
49,1.2822762
50,-0.17560792
51,-1.6604536
52,1.9234622
53,0.91699386
54,0.31566143
55,0.7339597
56,-2.1493018
57,-0.0961988
58,1.5248537
59,1.9884803
60,1.9004191
61,1.8701339
62,-0.40868688
63,-0.42446995
64,-2.3501956
65,-2.587176
66,1.083348
67,-0.80451274
68,1.5105793
69,1.2451261
70,1.873236
71,1.5924376
72,0.3503828
73,2.589049
74,2.2536905
75,1.4476075
76,2.3670216
77,-0.421319
78,-2.813299
79,3.039505
80,0.45035863
81,0.28059936
82,2.0548205
83,2.9464858
84,-0.7488642
85,-2.386789
86,1.5070504
87,-1.5236394
88,-2.5983431
89,1.5910246
90,0.543736
91,1.509212
92,-1.2571499
93,2.3056152
94,2.4322221
95,0.2760465
96,-1.0862167
97,2.000471
98,0.69539285
99,0.80907965
