,0
0,-0.99491787
1,-1.1837244
2,0.6676953
3,-0.34152508
4,-0.17683327
5,-1.0824175
6,-1.1847552
7,-0.9025522
8,-0.8572021
9,-0.03139966
10,-0.61487454
11,-1.1587801
12,0.7880605
13,0.48208502
14,0.7954099
15,0.72877735
16,0.038884148
17,-1.0593832
18,-1.051291
19,-1.199571
20,0.32385293
21,0.5344656
22,0.30017424
23,-0.90960807
24,0.37285504
25,-0.69555
26,-0.6763603
27,-1.1388077
28,0.23885995
29,0.21897414
30,-0.83762425
31,0.49233353
32,0.52938044
33,0.076992944
34,-0.08356932
35,0.7394515
36,-1.227493
37,-0.33441803
38,-0.41242194
39,-1.0558398
40,0.7109624
41,-0.089331925
42,-1.2240331
43,0.20290543
44,0.70753217
45,0.5011701
46,-1.0486176
47,0.55496407
48,0.24707735
49,0.2578599
50,-0.9942304
51,0.04005289
52,0.74718815
53,-0.08333041
54,-1.1862372
55,0.048959233
56,-1.0100033
57,0.680971
58,-1.0570214
59,0.093811855
60,0.17811334
61,-0.017859615
62,-0.9855388
63,0.7915737
64,0.2871726
65,0.80838764
66,0.7687911
67,-1.019656
68,0.551674
69,-1.0638425
70,-0.8140388
71,-0.9352619
72,0.7035618
73,0.5951873
74,-0.95656204
75,-0.10779823
76,0.087407075
77,-0.42011696
78,-1.0275007
79,0.23371324
80,0.15010957
81,0.20602986
82,-0.8822098
83,-0.22121654
84,-0.1220344
85,-1.2127335
86,0.6381971
87,-1.1595689
88,0.6491454
89,0.54872936
90,-0.33853894
91,0.33411902
92,-0.6190951
93,-0.9594645
94,-1.1506884
95,0.38005504
96,0.7491237
97,-0.07204358
98,0.31697187
99,-1.211108
