,0
0,-0.66801715
1,-1.2556474
2,1.1278481
3,-0.16355991
4,-0.00925374
5,-1.1262991
6,-1.2571952
7,-0.5562234
8,-0.5227332
9,0.26665163
10,-2.7529228
11,-1.1912243
12,1.8683467
13,0.74770284
14,1.8168651
15,2.001117
16,2.9339652
17,-0.779793
18,-1.0103638
19,-1.3157465
20,0.52868533
21,0.8279271
22,0.5046835
23,-0.5495813
24,2.5135114
25,-2.5883987
26,-2.6077015
27,-1.8200314
28,0.46396327
29,0.44325948
30,-2.365628
31,0.73534393
32,0.8243346
33,2.8693984
34,0.12171817
35,2.0033765
36,-1.4093335
37,-0.18064642
38,-3.041165
39,-0.7326751
40,1.207013
41,0.12357688
42,-1.4025228
43,0.39213276
44,1.1892071
45,0.7797179
46,-1.027425
47,0.9770286
48,0.47111607
49,0.46969032
50,-2.0919135
51,2.9371638
52,1.9880354
53,3.1412973
54,-1.2787702
55,2.915218
56,-0.66535926
57,2.128367
58,-1.0248182
59,2.8583696
60,0.365489
61,0.27355862
62,-2.1080048
63,1.8439584
64,0.50031304
65,1.8097326
66,1.632208
67,-2.0537207
68,2.298022
69,-1.9621298
70,-2.3795516
71,-0.5955808
72,1.4097875
73,1.0120554
74,-2.1489308
75,0.013189793
76,0.30972958
77,-3.0129921
78,-2.0533426
79,2.6866949
80,2.7868853
81,2.7246077
82,-2.296418
83,-0.03451991
84,0.15972948
85,-1.3751166
86,1.0763984
87,-1.7448809
88,2.1597483
89,2.2910602
90,-0.14354849
91,2.5671005
92,-2.7390368
93,-0.6155393
94,-1.7517602
95,0.57120156
96,1.5736479
97,0.11278963
98,2.584172
99,-1.3630807
