,0
0,0.39750555
1,0.5619159
2,-1.0411183
3,-0.5480957
4,0.3961104
5,-0.15510824
6,0.12447329
7,0.22336869
8,-0.8210343
9,-0.902835
10,0.36910662
11,-0.3923923
12,-0.6920571
13,-0.37723947
14,-1.1520458
15,0.7342571
16,-0.64085984
17,-0.736188
18,0.5529202
19,0.7128875
20,-0.27096543
21,0.92972475
22,-0.8051912
23,0.6590684
24,0.10340692
25,-0.30338833
26,-0.4376812
27,-1.077898
28,0.2349029
29,-0.36188525
30,0.52298844
31,-1.0580615
32,-0.61361635
33,-0.38644046
34,-0.7744689
35,-0.35408875
36,0.30046216
37,0.7980399
38,-0.77211046
39,0.437428
40,-0.5910796
41,0.40066272
42,0.4391046
43,-0.35918975
44,0.22453947
45,-1.161056
46,-0.023387037
47,-0.23572427
48,-1.0325334
49,0.4056789
50,0.4849673
51,0.56386554
52,0.6413369
53,-0.1514396
54,0.66317433
55,-0.5082789
56,-0.49666995
57,-0.0037732273
58,0.8900005
59,-0.20128794
60,0.12716521
61,-0.9782989
62,-0.5726753
63,0.8185384
64,0.79067254
65,-0.93784606
66,-0.99876875
67,-0.5020652
68,0.90206224
69,0.102756456
70,0.38658285
71,-1.1019732
72,0.12174848
73,-0.016648456
74,0.63236195
75,0.5946523
76,-0.17554949
77,0.7905099
78,-1.0934365
79,-0.45327786
80,0.9103372
81,-1.0334175
82,0.30050465
83,-0.54431486
84,0.7995392
85,-0.97791594
86,1.007341
87,-1.1495293
88,-1.1093433
89,-1.0464543
90,-0.15148503
91,0.32833308
92,0.8990035
93,0.7853807
94,0.19911414
95,0.91706985
96,0.91540754
97,-0.21215844
98,-1.148674
99,-0.3855493
