,0
0,0.6836656
1,0.68562615
2,-0.7889752
3,-0.33544424
4,0.5101299
5,0.10949656
6,0.3187727
7,0.5275721
8,-0.78512764
9,-0.7049416
10,0.47253403
11,-0.1526376
12,-0.6113975
13,-0.14587927
14,-0.79191566
15,0.92707807
16,-0.4072863
17,-0.38608176
18,0.75581527
19,0.86386424
20,-0.12643431
21,1.1173217
22,-0.73920417
23,0.943934
24,0.32548475
25,-0.06856662
26,-0.19711632
27,-0.98547375
28,0.57436955
29,-0.14279526
30,0.6372396
31,-0.8257576
32,-0.36517242
33,-0.15967092
34,-0.6244059
35,-0.111621246
36,0.5376855
37,0.99304503
38,-0.69991475
39,0.55438244
40,-0.6183171
41,0.6151947
42,0.6617621
43,-0.22360997
44,0.4375208
45,-0.95857877
46,0.011326864
47,0.043775912
48,-0.8845502
49,0.68713635
50,0.4793862
51,0.76211685
52,0.7748184
53,-0.23009306
54,0.8538246
55,-0.33612975
56,-0.24949874
57,0.049280122
58,1.2234261
59,-0.10930939
60,0.16139364
61,-0.9001914
62,-0.3112566
63,1.0188938
64,1.062248
65,-0.9153991
66,-1.0577099
67,-0.32299963
68,0.94243705
69,0.41477388
70,0.50691605
71,-0.63746977
72,0.42347422
73,0.20872101
74,0.5579393
75,0.7425695
76,-0.05025211
77,0.81354874
78,-0.91197735
79,-0.21784893
80,1.0935957
81,-0.6848556
82,0.46187457
83,-0.49331307
84,0.96617806
85,-0.7244007
86,1.2252706
87,-1.0341276
88,-1.0037091
89,-0.8882444
90,-0.043897547
91,0.5675832
92,1.051786
93,0.9354666
94,0.41419297
95,1.1079425
96,1.0052533
97,0.050580032
98,-0.9718412
99,-0.3683182
