,0
0,-0.23251162
1,-0.2754044
2,-0.31923494
3,-0.36433962
4,-0.40817812
5,-0.46089956
6,-0.5032611
7,-0.5492342
8,-0.60564065
9,-0.6601398
10,-0.70790446
11,-0.7597687
12,-0.8176211
13,-0.87797767
14,-0.9256672
15,-0.98455477
16,-1.0437523
17,-1.0988321
18,-1.1577233
19,-1.2170811
20,-1.2707819
21,-1.3362957
22,-1.4011077
23,-1.4549059
24,-1.5268008
25,-1.574857
26,-1.6423246
27,-1.7014685
28,-1.7789369
29,-1.8360527
30,-1.8951566
31,-1.9504421
32,-2.0249217
33,-2.0931828
34,-2.1473527
35,-2.2195036
36,-2.276092
37,-2.350983
38,-2.409931
39,-2.472377
40,-2.5403059
41,-2.619061
42,-2.6647716
43,-2.734599
44,-2.8094127
45,-2.8678365
46,-2.9362051
47,-3.0069778
48,-3.0674925
49,-3.1476245
50,-3.1925433
51,-3.2755382
52,-3.3474844
53,-3.4057987
54,-3.4715273
55,-3.5524304
56,-3.603535
57,-3.6823452
58,-3.7405427
59,-3.825568
60,-3.8803318
61,-3.9411302
62,-4.0085826
63,-4.0799875
64,-4.1474943
65,-4.216948
66,-4.2907085
67,-4.3375297
68,-4.437183
69,-4.4875073
70,-4.587036
71,-4.6350207
72,-4.7010946
73,-4.779522
74,-4.852806
75,-4.920072
76,-4.994988
77,-5.0584397
78,-5.13872
79,-5.222398
80,-5.2761474
81,-5.334231
82,-5.4454846
83,-5.490999
84,-5.576866
85,-5.649985
86,-5.7141986
87,-5.8016734
88,-5.8648233
89,-5.945234
90,-6.007509
91,-6.083117
92,-6.16834
93,-6.2359633
94,-6.2915726
95,-6.360151
96,-6.4346457
97,-6.5276184
98,-6.604659
99,-6.678093
