,0
0,-0.16848172
1,-0.23171604
2,-0.29354173
3,-0.35869926
4,-0.42408213
5,-0.49293447
6,-0.56003594
7,-0.6256623
8,-0.6876614
9,-0.74636537
10,-0.7979626
11,-0.84797454
12,-0.8925575
13,-0.9283753
14,-0.9523798
15,-0.9769206
16,-0.9895437
17,-1.0067517
18,-1.0256014
19,-1.0502157
20,-1.0888425
21,-1.1235744
22,-1.1633761
23,-1.1920083
24,-1.2044356
25,-1.2029974
26,-1.2082033
27,-1.214176
28,-1.2182767
29,-1.2146096
30,-1.1935674
31,-1.181761
32,-1.1628073
33,-1.1528418
34,-1.138087
35,-1.103281
36,-1.0726997
37,-1.0357686
38,-0.9739729
39,-0.88317347
40,-0.76811814
41,-0.702412
42,-0.6829087
43,-0.6795232
44,-0.631427
45,-0.5406066
46,-0.42487437
47,-0.3841581
48,-0.35665435
49,-0.28564847
50,-0.1744804
51,-0.046063825
52,0.045981474
53,0.08686246
54,0.07994379
55,0.09902538
56,0.16661307
57,0.24389085
58,0.3040725
59,0.38319305
60,0.44989192
61,0.52478564
62,0.57840765
63,0.5957952
64,0.6175091
65,0.6503054
66,0.68448627
67,0.721237
68,0.754842
69,0.77705437
70,0.8004994
71,0.8137504
72,0.8335388
73,0.8359972
74,0.8373145
75,0.8278456
76,0.8167898
77,0.8060469
78,0.7879237
79,0.77406144
80,0.7495042
81,0.71996975
82,0.6861309
83,0.65091276
84,0.6114949
85,0.5612781
86,0.5194191
87,0.4692178
88,0.4224428
89,0.3728429
90,0.31780353
91,0.26344544
92,0.21564223
93,0.15891874
94,0.10032758
95,0.04076667
96,-0.029204272
97,-0.091613
98,-0.15956934
99,-0.23503107
