,0
0,0.16394182
1,0.1503671
2,0.1397338
3,0.14344463
4,0.1545979
5,0.1894445
6,0.21999544
7,0.25920996
8,0.30879775
9,0.34966144
10,0.39875934
11,0.43001276
12,0.47897258
13,0.52830327
14,0.5857358
15,0.62989974
16,0.6815667
17,0.73031306
18,0.77792186
19,0.81289613
20,0.86163825
21,0.9077814
22,0.9585294
23,1.0022717
24,1.0511185
25,1.1082314
26,1.1458653
27,1.1900996
28,1.2331986
29,1.2892781
30,1.3348304
31,1.3789545
32,1.4272895
33,1.4741875
34,1.5203669
35,1.5672209
36,1.6207325
37,1.6706069
38,1.7184666
39,1.7628852
40,1.8033842
41,1.8573266
42,1.9017293
43,1.9491785
44,1.9997389
45,2.0537398
46,2.0913422
47,2.1336663
48,2.1782162
49,2.2321339
50,2.2778382
51,2.3220277
52,2.367118
53,2.4179056
54,2.4809873
55,2.5189006
56,2.5724754
57,2.6164913
58,2.661261
59,2.7055871
60,2.7582583
61,2.7988377
62,2.8689988
63,2.9195945
64,2.9590278
65,3.006199
66,3.0609863
67,3.1135633
68,3.1609564
69,3.205224
70,3.266976
71,3.3090384
72,3.3627217
73,3.418275
74,3.4634774
75,3.5304968
76,3.5710626
77,3.6252995
78,3.6713338
79,3.7137003
80,3.7663062
81,3.8182914
82,3.8599625
83,3.9267063
84,3.9634705
85,4.021317
86,4.0666676
87,4.102196
88,4.170086
89,4.213089
90,4.2685094
91,4.3146734
92,4.3576436
93,4.4036818
94,4.466019
95,4.502116
96,4.5621514
97,4.6215816
98,4.653779
99,4.706
