,0
0,0.21186118
1,0.13814878
2,0.0644605
3,-0.007959172
4,-0.0716746
5,-0.14382428
6,-0.2115926
7,-0.27783298
8,-0.33487037
9,-0.39450237
10,-0.44946608
11,-0.49781522
12,-0.53707445
13,-0.5679728
14,-0.5974796
15,-0.6198026
16,-0.63781476
17,-0.65743285
18,-0.6728641
19,-0.6985542
20,-0.7274589
21,-0.76969343
22,-0.79904467
23,-0.82120216
24,-0.8366269
25,-0.84177923
26,-0.8450673
27,-0.85422873
28,-0.85307926
29,-0.8466362
30,-0.83016527
31,-0.79582673
32,-0.78867376
33,-0.7758872
34,-0.75062656
35,-0.7162382
36,-0.6875151
37,-0.656346
38,-0.57757086
39,-0.47882003
40,-0.37613752
41,-0.30776894
42,-0.29518443
43,-0.2915216
44,-0.23061158
45,-0.13150895
46,-0.04703839
47,-0.008451432
48,0.038273722
49,0.09255574
50,0.20304064
51,0.35007167
52,0.43180454
53,0.48740628
54,0.47954062
55,0.49575636
56,0.55012846
57,0.61313033
58,0.67819214
59,0.7646792
60,0.8383208
61,0.91240335
62,0.95773715
63,0.96485245
64,0.98164797
65,1.0162631
66,1.0501661
67,1.0830756
68,1.1159697
69,1.1373835
70,1.1584184
71,1.1830231
72,1.2020748
73,1.2089483
74,1.201359
75,1.1875211
76,1.1774583
77,1.1585847
78,1.1481918
79,1.1264709
80,1.105472
81,1.0849957
82,1.0464752
83,1.0056124
84,0.9573235
85,0.9157786
86,0.86572725
87,0.81983316
88,0.77295285
89,0.7226398
90,0.67011255
91,0.618237
92,0.56517667
93,0.5124279
94,0.45371896
95,0.3979494
96,0.3337047
97,0.2707616
98,0.21515706
99,0.16595756
