,0
0,-0.07983505
1,-0.11441201
2,-0.14971396
3,-0.18680386
4,-0.22982769
5,-0.2747418
6,-0.32485205
7,-0.38193548
8,-0.44659764
9,-0.511021
10,-0.58312356
11,-0.66674566
12,-0.75592434
13,-0.85057926
14,-0.9511994
15,-1.0643806
16,-1.1819022
17,-1.3062083
18,-1.4380281
19,-1.5800002
20,-1.7325029
21,-1.8887789
22,-2.054339
23,-2.231799
24,-2.4248197
25,-2.6057985
26,-2.8234477
27,-3.0425053
28,-3.2627878
29,-3.497111
30,-3.7414827
31,-3.9967287
32,-4.2698836
33,-4.5503235
34,-4.850332
35,-5.123783
36,-5.4509454
37,-5.7739224
38,-6.089804
39,-6.4497466
40,-6.786544
41,-7.135733
42,-7.527575
43,-7.897179
44,-8.282404
45,-8.6831255
46,-9.085422
47,-9.523988
48,-9.939674
49,-10.395331
50,-10.855095
51,-11.295062
52,-11.795595
53,-12.286551
54,-12.78904
55,-13.310065
56,-13.822075
57,-14.379013
58,-14.9228525
59,-15.48339
60,-16.044584
61,-16.639969
62,-17.219616
63,-17.841362
64,-18.458704
65,-19.112507
66,-19.74589
67,-20.38629
68,-21.091755
69,-21.746115
70,-22.433962
71,-23.15085
72,-23.883276
73,-24.596352
74,-25.33533
75,-26.094273
76,-26.895174
77,-27.635155
78,-28.435873
79,-29.261469
80,-30.016602
81,-30.85548
82,-31.653456
83,-32.507904
84,-33.39605
85,-34.248375
86,-35.091618
87,-36.005936
88,-36.884567
89,-37.804394
90,-38.68443
91,-39.66576
92,-40.580505
93,-41.56059
94,-42.52984
95,-43.535923
96,-44.500385
97,-45.516872
98,-46.490112
99,-47.543728
