,0
0,0.011537693
1,-0.013804033
2,-0.03241431
3,-0.044362128
4,-0.054837182
5,-0.06066724
6,-0.054433197
7,-0.04693675
8,-0.025189772
9,-0.0018624067
10,0.031727463
11,0.07257709
12,0.120880395
13,0.17272508
14,0.232972
15,0.308762
16,0.38203907
17,0.47179416
18,0.56130147
19,0.6678867
20,0.782505
21,0.90750223
22,1.0337427
23,1.1783767
24,1.332355
25,1.480551
26,1.659627
27,1.8464975
28,2.0343866
29,2.2359416
30,2.4449892
31,2.6690295
32,2.9067576
33,3.1578724
34,3.4199367
35,3.665211
36,3.9581313
37,4.249993
38,4.537805
39,4.8628955
40,5.1636763
41,5.487904
42,5.8490033
43,6.1840453
44,6.5428195
45,6.9086847
46,7.2825804
47,7.6877074
48,8.074322
49,8.499717
50,8.925522
51,9.338634
52,9.809687
53,10.267348
54,10.73922
55,11.229312
56,11.708521
57,12.2351265
58,12.7485075
59,13.281346
60,13.813646
61,14.371609
62,14.918128
63,15.506141
64,16.094599
65,16.718208
66,17.314833
67,17.924982
68,18.59341
69,19.213121
70,19.869955
71,20.552572
72,21.250872
73,21.929836
74,22.630758
75,23.360126
76,24.122229
77,24.829956
78,25.595484
79,26.382063
80,27.104752
81,27.91129
82,28.66952
83,29.489698
84,30.341373
85,31.155998
86,31.962505
87,32.839996
88,33.683746
89,34.56336
90,35.40533
91,36.354
92,37.226166
93,38.17381
94,39.106148
95,40.072124
96,40.996853
97,41.97463
98,42.912827
99,43.926853
