,0
0,-0.019140942
1,-0.08375257
2,-0.15093943
3,-0.21923798
4,-0.28608215
5,-0.35316655
6,-0.41913125
7,-0.48514274
8,-0.54463905
9,-0.6038565
10,-0.65834826
11,-0.7075826
12,-0.7486875
13,-0.784013
14,-0.8120237
15,-0.8311493
16,-0.84794044
17,-0.86485195
18,-0.8834381
19,-0.90867627
20,-0.9426493
21,-0.9835233
22,-1.0153102
23,-1.0436524
24,-1.0576451
25,-1.0612713
26,-1.064355
27,-1.0704902
28,-1.0686833
29,-1.0662628
30,-1.0475028
31,-1.0272986
32,-1.013663
33,-1.0034344
34,-0.98436904
35,-0.95197433
36,-0.92038536
37,-0.88821965
38,-0.8213166
39,-0.7242936
40,-0.6153632
41,-0.5492553
42,-0.52820325
43,-0.52889794
44,-0.47757024
45,-0.38168997
46,-0.27940583
47,-0.23673007
48,-0.20602871
49,-0.13968827
50,-0.028189054
51,0.10882612
52,0.197595
53,0.24377675
54,0.2338886
55,0.25413048
56,0.31931734
57,0.39174676
58,0.4521668
59,0.5377409
60,0.60734797
61,0.67659515
62,0.7238835
63,0.7433727
64,0.7635113
65,0.7946657
66,0.82947326
67,0.86351126
68,0.89652205
69,0.91909707
70,0.94297034
71,0.96434927
72,0.97744274
73,0.98381674
74,0.9812058
75,0.97172767
76,0.9622438
77,0.94640636
78,0.93093985
79,0.91189784
80,0.88817656
81,0.86114407
82,0.828514
83,0.79393065
84,0.7493597
85,0.70522517
86,0.6582919
87,0.6112869
88,0.5619146
89,0.51206636
90,0.45937967
91,0.40795606
92,0.35571846
93,0.30019993
94,0.2422237
95,0.1814364
96,0.11855255
97,0.053117275
98,-0.012934666
99,-0.078520596
