,0
0,0.062543
1,-0.008964777
2,-0.07948396
3,-0.1495885
4,-0.2178483
5,-0.28506646
6,-0.35174927
7,-0.4173197
8,-0.4791698
9,-0.5356166
10,-0.59010667
11,-0.6377379
12,-0.67678726
13,-0.71530265
14,-0.7415121
15,-0.763769
16,-0.7802645
17,-0.7988609
18,-0.81590116
19,-0.8401238
20,-0.87231666
21,-0.91157454
22,-0.9435154
23,-0.9675323
24,-0.9835665
25,-0.9883112
26,-0.9912969
27,-0.99753886
28,-0.9973358
29,-0.9930068
30,-0.9731005
31,-0.9474353
32,-0.93437326
33,-0.9254029
34,-0.90230083
35,-0.8690503
36,-0.83927965
37,-0.80744797
38,-0.7357689
39,-0.63440895
40,-0.5297685
41,-0.4628561
42,-0.44516385
43,-0.44519058
44,-0.3869586
45,-0.2872997
46,-0.20123172
47,-0.15543756
48,-0.11956568
49,-0.056898694
50,0.05285865
51,0.19574675
52,0.28269225
53,0.3314305
54,0.3218077
55,0.34118414
56,0.40094203
57,0.46571225
58,0.5309216
59,0.61841863
60,0.6860192
61,0.7575725
62,0.80373585
63,0.81651247
64,0.8365983
65,0.8712003
66,0.90296054
67,0.93763167
68,0.9698057
69,0.9925002
70,1.0159992
71,1.0369804
72,1.0528951
73,1.0606703
74,1.0560409
75,1.0422395
76,1.0345924
77,1.0168793
78,1.0020827
79,0.98220044
80,0.95873284
81,0.9329915
82,0.8999095
83,0.86363375
84,0.8162855
85,0.77372605
86,0.72733396
87,0.677884
88,0.63193923
89,0.58095217
90,0.52834564
91,0.47496885
92,0.42376408
93,0.36796314
94,0.31179768
95,0.25309926
96,0.1899258
97,0.12845081
98,0.066488594
99,0.011407401
