,0
0,0.09239338
1,-0.026544686
2,-0.23370594
3,-0.06183356
4,-0.19299933
5,-0.18310031
6,-0.5692531
7,-0.50810623
8,-0.5460064
9,-0.6214529
10,-0.55260766
11,-0.66203517
12,-0.7323787
13,-0.82757723
14,-0.8265147
15,-0.8786756
16,-0.8135755
17,-0.6811992
18,-0.9461147
19,-0.74703836
20,-0.8428115
21,-0.99510866
22,-0.95066065
23,-1.0657225
24,-1.0768936
25,-0.9628839
26,-0.91907954
27,-1.1365551
28,-1.0661829
29,-1.0832851
30,-0.9406504
31,-0.96922
32,-0.9155491
33,-1.0804046
34,-0.9035166
35,-0.93730485
36,-0.84146196
37,-0.8585325
38,-0.79444385
39,-0.6832414
40,-0.5154772
41,-0.5231105
42,-0.40670714
43,-0.620079
44,-0.35973018
45,-0.39875203
46,-0.17790325
47,-0.16494106
48,-0.19517219
49,-0.1565485
50,-0.026282106
51,0.26965955
52,0.1414835
53,0.3893793
54,0.25269997
55,0.28371927
56,0.3823226
57,0.35890204
58,0.5116901
59,0.6358966
60,0.5010075
61,0.8723001
62,0.92132413
63,0.6180269
64,0.74624
65,0.8657476
66,0.7255684
67,0.9383486
68,1.005428
69,0.8924071
70,0.9558407
71,1.0984585
72,1.0089078
73,1.184661
74,0.895343
75,0.9037969
76,1.1074327
77,0.9788262
78,0.88834083
79,0.8782953
80,0.9894777
81,0.8288265
82,0.9761489
83,0.95023006
84,0.75817287
85,0.6496128
86,0.6365955
87,0.7194486
88,0.56978095
89,0.5969679
90,0.50917625
91,0.22562826
92,0.4259721
93,0.40283415
94,0.3910605
95,0.38811064
96,0.0005442202
97,0.09537941
98,-0.057259366
99,-0.0284766
