,0
0,-0.2127266
1,-0.25897455
2,-0.31349057
3,-0.36979187
4,-0.42589965
5,-0.47878605
6,-0.53874815
7,-0.5975935
8,-0.6558243
9,-0.730718
10,-0.7893295
11,-0.8606388
12,-0.9231197
13,-0.9877206
14,-1.0637672
15,-1.1284249
16,-1.1995912
17,-1.2655787
18,-1.344819
19,-1.4041668
20,-1.479058
21,-1.554405
22,-1.6286703
23,-1.6950177
24,-1.7726035
25,-1.8400096
26,-1.9131639
27,-1.9883996
28,-2.0551472
29,-2.1359553
30,-2.2024639
31,-2.2827454
32,-2.3574297
33,-2.4311333
34,-2.4994743
35,-2.5762894
36,-2.6583421
37,-2.7380638
38,-2.8063
39,-2.8779986
40,-2.9649146
41,-3.0289452
42,-3.105026
43,-3.184468
44,-3.2504818
45,-3.3305655
46,-3.4170113
47,-3.4934611
48,-3.5682576
49,-3.6463182
50,-3.7252727
51,-3.796806
52,-3.8715928
53,-3.955222
54,-4.0265408
55,-4.10136
56,-4.194947
57,-4.263082
58,-4.3353767
59,-4.412492
60,-4.4964857
61,-4.572274
62,-4.647935
63,-4.7229047
64,-4.799419
65,-4.8788457
66,-4.9613123
67,-5.036744
68,-5.117391
69,-5.1926775
70,-5.265961
71,-5.342017
72,-5.4266605
73,-5.4961023
74,-5.581919
75,-5.6524777
76,-5.734911
77,-5.8218155
78,-5.903488
79,-5.9812255
80,-6.0629396
81,-6.1336737
82,-6.2121005
83,-6.294473
84,-6.3732195
85,-6.4438467
86,-6.532848
87,-6.6016097
88,-6.693042
89,-6.7658463
90,-6.858338
91,-6.927445
92,-7.0024695
93,-7.0880265
94,-7.1701226
95,-7.241271
96,-7.333554
97,-7.4071126
98,-7.481537
99,-7.5639787
