,0
0,-0.15218085
1,-0.21514522
2,-0.27491742
3,-0.34331605
4,-0.41183427
5,-0.47288916
6,-0.5297506
7,-0.5876836
8,-0.645799
9,-0.7045211
10,-0.76239455
11,-0.8193066
12,-0.86929035
13,-0.9161523
14,-0.95868385
15,-0.98555285
16,-1.0155455
17,-1.0328122
18,-1.0491717
19,-1.0712966
20,-1.0913978
21,-1.1093142
22,-1.1284558
23,-1.1585696
24,-1.1803455
25,-1.1944987
26,-1.1869755
27,-1.1738621
28,-1.1675396
29,-1.171724
30,-1.1888876
31,-1.1719736
32,-1.1214813
33,-1.0732393
34,-0.9890762
35,-0.95356643
36,-0.92623734
37,-0.86333656
38,-0.8023786
39,-0.79387856
40,-0.8184816
41,-0.83600456
42,-0.81409883
43,-0.7546684
44,-0.6479586
45,-0.55685186
46,-0.48704782
47,-0.38644034
48,-0.32379878
49,-0.21412908
50,-0.1507138
51,-0.0711907
52,0.027435921
53,0.09863046
54,0.1458907
55,0.1645259
56,0.18131591
57,0.2254321
58,0.32180387
59,0.44279534
60,0.5165328
61,0.5216548
62,0.53155863
63,0.5782445
64,0.61544704
65,0.6421081
66,0.67442626
67,0.7115254
68,0.75046635
69,0.7810159
70,0.81391275
71,0.8474566
72,0.8716481
73,0.88724864
74,0.8901061
75,0.8725798
76,0.85653454
77,0.8287777
78,0.7935553
79,0.75415367
80,0.7206705
81,0.69279337
82,0.67261755
83,0.6526489
84,0.63274246
85,0.59895027
86,0.56660753
87,0.5156342
88,0.4796171
89,0.4341469
90,0.3836345
91,0.33122924
92,0.28129333
93,0.22045037
94,0.16383389
95,0.10543752
96,0.03676059
97,-0.03776791
98,-0.121871546
99,-0.21572977
