,0
0,0.19379923
1,0.15588692
2,0.1293515
3,0.09546029
4,0.05897598
5,0.03134699
6,-0.0033579916
7,-0.040273212
8,-0.06923115
9,-0.10026845
10,-0.12678266
11,-0.15692507
12,-0.1892786
13,-0.22244348
14,-0.25089064
15,-0.2789184
16,-0.31012422
17,-0.33490252
18,-0.36471087
19,-0.40429825
20,-0.4260274
21,-0.46221167
22,-0.48835942
23,-0.52056015
24,-0.55068016
25,-0.5857178
26,-0.6085108
27,-0.6352821
28,-0.6657157
29,-0.6984055
30,-0.72845215
31,-0.7588691
32,-0.78163934
33,-0.8205092
34,-0.85280174
35,-0.8846673
36,-0.9159793
37,-0.94567335
38,-0.97433877
39,-1.005728
40,-1.046526
41,-1.0770385
42,-1.1132451
43,-1.1465349
44,-1.1823126
45,-1.2269104
46,-1.2593575
47,-1.3060029
48,-1.3461343
49,-1.3729217
50,-1.4125164
51,-1.4562736
52,-1.4941074
53,-1.5270003
54,-1.575191
55,-1.6002747
56,-1.6490376
57,-1.6990556
58,-1.7293773
59,-1.7739077
60,-1.8018997
61,-1.8597854
62,-1.8867667
63,-1.934421
64,-1.9729086
65,-2.0185564
66,-2.0605145
67,-2.106444
68,-2.1525006
69,-2.1828408
70,-2.230043
71,-2.273937
72,-2.3242617
73,-2.363566
74,-2.4090323
75,-2.4456453
76,-2.4865406
77,-2.5298414
78,-2.568718
79,-2.6218696
80,-2.6619549
81,-2.7073028
82,-2.751345
83,-2.7858956
84,-2.841095
85,-2.8788304
86,-2.9306371
87,-2.9623072
88,-3.015313
89,-3.0543475
90,-3.1007984
91,-3.124913
92,-3.182824
93,-3.233198
94,-3.2547193
95,-3.3125951
96,-3.3560567
97,-3.3976972
98,-3.4288602
99,-3.4852836
