,0
0,0.2420354
1,0.1664829
2,0.08870874
3,0.012351651
4,-0.062649205
5,-0.119301185
6,-0.17860739
7,-0.22778752
8,-0.28730044
9,-0.34415817
10,-0.4102888
11,-0.4602704
12,-0.506498
13,-0.5495362
14,-0.596359
15,-0.6204699
16,-0.6552151
17,-0.6802103
18,-0.69815886
19,-0.71811175
20,-0.73530555
21,-0.75221825
22,-0.7695059
23,-0.7952304
24,-0.81178784
25,-0.8111716
26,-0.79835844
27,-0.78240776
28,-0.78336835
29,-0.7978563
30,-0.8059936
31,-0.7866483
32,-0.73247075
33,-0.67579687
34,-0.602466
35,-0.5435394
36,-0.51673305
37,-0.47418088
38,-0.4166015
39,-0.39317653
40,-0.39708394
41,-0.4412765
42,-0.4247455
43,-0.34044868
44,-0.2678284
45,-0.17151657
46,-0.08637585
47,0.0099951625
48,0.094844505
49,0.19865483
50,0.2605754
51,0.31417903
52,0.4049577
53,0.4844098
54,0.519343
55,0.5364455
56,0.5655059
57,0.6285546
58,0.72871476
59,0.83620954
60,0.9104656
61,0.9067415
62,0.9248387
63,0.965804
64,0.9964535
65,1.0244684
66,1.0497597
67,1.0862365
68,1.1224215
69,1.1564095
70,1.1947887
71,1.2331401
72,1.2601265
73,1.2714115
74,1.2626439
75,1.2436588
76,1.2253646
77,1.1893735
78,1.1524377
79,1.1073645
80,1.0766932
81,1.0510488
82,1.0258973
83,1.0105811
84,0.9877875
85,0.96767807
86,0.9251053
87,0.8810323
88,0.83500767
89,0.7897746
90,0.74023926
91,0.6905588
92,0.63507926
93,0.5830604
94,0.5266715
95,0.45964456
96,0.3957035
97,0.33139274
98,0.25872132
99,0.19247288
