,0
0,-0.053990263
1,-0.09865165
2,-0.145343
3,-0.19277157
4,-0.24379721
5,-0.2951314
6,-0.3462519
7,-0.4035069
8,-0.45898882
9,-0.51731443
10,-0.57697713
11,-0.6393003
12,-0.70372534
13,-0.76813066
14,-0.8350444
15,-0.9055179
16,-0.9715978
17,-1.0432217
18,-1.1193178
19,-1.1906376
20,-1.2737813
21,-1.3471502
22,-1.4288979
23,-1.5164914
24,-1.5972338
25,-1.6814244
26,-1.7670181
27,-1.8585582
28,-1.945463
29,-2.0406148
30,-2.135181
31,-2.229847
32,-2.3220687
33,-2.4275784
34,-2.524548
35,-2.6198068
36,-2.719568
37,-2.8145828
38,-2.9226313
39,-3.0282297
40,-3.1316972
41,-3.2417388
42,-3.3539324
43,-3.460321
44,-3.566051
45,-3.6872349
46,-3.797378
47,-3.894169
48,-4.018719
49,-4.1365576
50,-4.2506523
51,-4.354826
52,-4.4826035
53,-4.5840893
54,-4.7070518
55,-4.832334
56,-4.9480867
57,-5.066949
58,-5.1925225
59,-5.30764
60,-5.4252377
61,-5.562931
62,-5.688982
63,-5.7995453
64,-5.9151
65,-6.060805
66,-6.1767263
67,-6.2934294
68,-6.425728
69,-6.564353
70,-6.6794214
71,-6.8075337
72,-6.9547606
73,-7.0764117
74,-7.2078176
75,-7.335219
76,-7.4725885
77,-7.6035647
78,-7.7386513
79,-7.879759
80,-8.019948
81,-8.149191
82,-8.296703
83,-8.437229
84,-8.584641
85,-8.730752
86,-8.872303
87,-9.030548
88,-9.160751
89,-9.321685
90,-9.461906
91,-9.622774
92,-9.759129
93,-9.916779
94,-10.046392
95,-10.222019
96,-10.364798
97,-10.516906
98,-10.677797
99,-10.844507
