,0
0,0.036328632
1,-0.00033689663
2,-0.03989137
3,-0.07396762
4,-0.11056805
5,-0.15149774
6,-0.18593615
7,-0.22464857
8,-0.26106426
9,-0.29535145
10,-0.33151957
11,-0.36663014
12,-0.3963053
13,-0.4309133
14,-0.46055582
15,-0.48878986
16,-0.52346706
17,-0.5522045
18,-0.57722986
19,-0.608584
20,-0.6301193
21,-0.6561104
22,-0.6839161
23,-0.6963144
24,-0.7190919
25,-0.7410031
26,-0.76160264
27,-0.7753067
28,-0.7930991
29,-0.80779266
30,-0.8190244
31,-0.82807887
32,-0.8495742
33,-0.85029817
34,-0.86390424
35,-0.8793432
36,-0.8875983
37,-0.90104365
38,-0.90495396
39,-0.9099051
40,-0.9189583
41,-0.9167217
42,-0.92106044
43,-0.9263277
44,-0.9327742
45,-0.9236127
46,-0.9312091
47,-0.94496274
48,-0.9330839
49,-0.9321337
50,-0.93752706
51,-0.94658804
52,-0.9321147
53,-0.94378424
54,-0.9400487
55,-0.93249035
56,-0.9319835
57,-0.9284828
58,-0.9217658
59,-0.9249294
60,-0.9265721
61,-0.90311
62,-0.8983743
63,-0.9028783
64,-0.90788746
65,-0.87712955
66,-0.8780496
67,-0.8822329
68,-0.869818
69,-0.849283
70,-0.851825
71,-0.84364843
72,-0.8180654
73,-0.81182575
74,-0.8009877
75,-0.7937913
76,-0.77452755
77,-0.76491404
78,-0.7492666
79,-0.7250452
80,-0.7034099
81,-0.68831205
82,-0.66869974
83,-0.647665
84,-0.6197157
85,-0.5944166
86,-0.5744462
87,-0.5345149
88,-0.5224166
89,-0.48412323
90,-0.46301794
91,-0.42070198
92,-0.40227318
93,-0.369102
94,-0.35857344
95,-0.30446863
96,-0.28259134
97,-0.24830723
98,-0.20823765
99,-0.16360903
