,0
0,0.0021510087
1,-0.06397614
2,-0.13165429
3,-0.2038405
4,-0.27247715
5,-0.3328678
6,-0.3882166
7,-0.4436036
8,-0.5038514
9,-0.56115526
10,-0.6216901
11,-0.6756715
12,-0.7265484
13,-0.77251536
14,-0.8110719
15,-0.8433332
16,-0.8675981
17,-0.89354503
18,-0.9105635
19,-0.92740834
20,-0.9449041
21,-0.96563727
22,-0.9865235
23,-1.011976
24,-1.030787
25,-1.0387895
26,-1.0324581
27,-1.0233269
28,-1.0152773
29,-1.0219471
30,-1.0380987
31,-1.0207379
32,-0.9718022
33,-0.91567373
34,-0.8373241
35,-0.7963225
36,-0.7653812
37,-0.7069527
38,-0.64846456
39,-0.636514
40,-0.65651196
41,-0.6755899
42,-0.6609186
43,-0.59169465
44,-0.4950489
45,-0.4096066
46,-0.3312149
47,-0.23155951
48,-0.16494542
49,-0.05437661
50,0.0047623366
51,0.079886355
52,0.17358084
53,0.25009036
54,0.29534954
55,0.31029987
56,0.33187976
57,0.38041198
58,0.48280746
59,0.59376556
60,0.6685831
61,0.67038953
62,0.6855048
63,0.7333247
64,0.76598376
65,0.7923171
66,0.82566816
67,0.8601141
68,0.8967694
69,0.9313391
70,0.96484876
71,0.99909997
72,1.0241185
73,1.0391648
74,1.0362368
75,1.0208473
76,1.0024784
77,0.9705851
78,0.9385085
79,0.89664143
80,0.8645371
81,0.8374853
82,0.81397974
83,0.7951873
84,0.77255976
85,0.74276775
86,0.7103615
87,0.66706425
88,0.6212505
89,0.57557684
90,0.52747864
91,0.47474796
92,0.42437223
93,0.36687186
94,0.30833906
95,0.24646406
96,0.18086356
97,0.10853455
98,0.030724578
99,-0.052338064
