,0
0,0.086856395
1,0.013805123
2,-0.05972039
3,-0.13167104
4,-0.20137855
5,-0.26157367
6,-0.3187511
7,-0.37260726
8,-0.43337733
9,-0.48885196
10,-0.54911226
11,-0.60300606
12,-0.6534905
13,-0.69897383
14,-0.7380506
15,-0.768725
16,-0.7973197
17,-0.82224476
18,-0.8416546
19,-0.8580463
20,-0.8756248
21,-0.89512235
22,-0.91472435
23,-0.93900424
24,-0.9543034
25,-0.9597509
26,-0.94958806
27,-0.93722934
28,-0.9335171
29,-0.94392514
30,-0.95521283
31,-0.93420076
32,-0.887572
33,-0.8282585
34,-0.75263554
35,-0.70206827
36,-0.6754272
37,-0.61997354
38,-0.5700619
39,-0.5470951
40,-0.56087774
41,-0.5889783
42,-0.5772704
43,-0.49815866
44,-0.41214457
45,-0.3254374
46,-0.2422508
47,-0.14338464
48,-0.06819232
49,0.041879945
50,0.100132145
51,0.16231874
52,0.2523867
53,0.33158964
54,0.3730812
55,0.38670963
56,0.4155998
57,0.46811908
58,0.57153803
59,0.6815421
60,0.7545478
61,0.75514674
62,0.7714814
63,0.8153176
64,0.84582156
65,0.8720159
66,0.9062789
67,0.93759835
68,0.9753988
69,1.0083253
70,1.0450795
71,1.0828748
72,1.1080071
73,1.1214724
74,1.1146011
75,1.100177
76,1.0798552
77,1.0457199
78,1.0108103
79,0.9669029
80,0.933781
81,0.90842664
82,0.8840804
83,0.86563617
84,0.8463931
85,0.8168691
86,0.7804278
87,0.73879856
88,0.6924001
89,0.64530987
90,0.59588605
91,0.5428247
92,0.49384537
93,0.43777266
94,0.3772043
95,0.31710768
96,0.25304693
97,0.18422005
98,0.111587964
99,0.036940694
