,0
0,0.10375901
1,-0.046646744
2,0.04215093
3,-0.2852075
4,-0.3280781
5,-0.30033907
6,-0.35526675
7,-0.3922734
8,-0.39868602
9,-0.54243886
10,-0.6118675
11,-0.74115425
12,-0.5685523
13,-0.84017265
14,-0.6942532
15,-0.8535283
16,-0.9268492
17,-0.7668567
18,-0.9568078
19,-0.7934547
20,-0.8822864
21,-0.9409718
22,-0.73074424
23,-1.1432501
24,-1.0407495
25,-1.007667
26,-0.9794995
27,-0.9206233
28,-0.988544
29,-0.9202977
30,-1.0513624
31,-0.971612
32,-0.9675824
33,-0.87251824
34,-0.83145547
35,-0.71330756
36,-0.75307167
37,-0.67433584
38,-0.51588374
39,-0.6514004
40,-0.6408001
41,-0.6023586
42,-0.6459176
43,-0.458331
44,-0.5609225
45,-0.32660428
46,-0.3213279
47,-0.13681549
48,-0.14493968
49,0.05649133
50,0.017605625
51,0.13746019
52,0.082680486
53,0.3720404
54,0.41491276
55,0.3031617
56,0.45894212
57,0.3488327
58,0.34580547
59,0.7591833
60,0.82254624
61,0.69492286
62,0.6497492
63,0.90675825
64,0.7594481
65,0.7934682
66,0.81237483
67,0.87535
68,1.0671445
69,0.877856
70,0.92209935
71,1.2110646
72,0.90199333
73,1.2017893
74,1.0396173
75,1.065896
76,1.0698359
77,0.94632417
78,1.1785089
79,0.85366666
80,0.7195538
81,0.8123501
82,0.70192844
83,0.8606584
84,1.0422295
85,0.877921
86,0.79826856
87,0.5854986
88,0.65710866
89,0.5112287
90,0.63575786
91,0.5858041
92,0.36072588
93,0.35989356
94,0.48109752
95,0.15090598
96,0.3177768
97,0.26556844
98,-0.06679534
99,-0.01972284
