,0
0,-0.27534994
1,-0.30603504
2,-0.34746048
3,-0.39676368
4,-0.45359358
5,-0.50555813
6,-0.5658175
7,-0.6298704
8,-0.689206
9,-0.7444525
10,-0.7911397
11,-0.83316016
12,-0.8838685
13,-0.93644863
14,-0.992298
15,-1.0475703
16,-1.094752
17,-1.1393964
18,-1.1655736
19,-1.1837038
20,-1.1878753
21,-1.1685027
22,-1.1525702
23,-1.1476156
24,-1.1446646
25,-1.1489407
26,-1.172912
27,-1.1986463
28,-1.2305855
29,-1.2492883
30,-1.2071034
31,-1.1404796
32,-1.0971035
33,-1.0815562
34,-1.0500872
35,-1.0167068
36,-0.9830426
37,-0.9518102
38,-0.9020828
39,-0.8447162
40,-0.7742293
41,-0.7058323
42,-0.62773037
43,-0.5777881
44,-0.54375505
45,-0.47225243
46,-0.38942945
47,-0.31372863
48,-0.28095135
49,-0.27622014
50,-0.21096359
51,-0.1134956
52,0.022684023
53,0.13247754
54,0.15256625
55,0.17293291
56,0.20169671
57,0.26180798
58,0.32560197
59,0.39789185
60,0.44143727
61,0.4572462
62,0.48708737
63,0.5357501
64,0.58909273
65,0.63051677
66,0.6615324
67,0.6870828
68,0.70383215
69,0.71594775
70,0.72706443
71,0.7614961
72,0.793511
73,0.81668925
74,0.8336182
75,0.8376423
76,0.8281894
77,0.8073267
78,0.7852541
79,0.75873655
80,0.73808026
81,0.7111646
82,0.6916473
83,0.66342413
84,0.6390778
85,0.61027217
86,0.58242774
87,0.5430977
88,0.4920839
89,0.4227023
90,0.35504395
91,0.28610247
92,0.2193557
93,0.15394513
94,0.09272015
95,0.03470467
96,-0.014930472
97,-0.06430778
98,-0.10720341
99,-0.14262858
