,0
0,0.11635652
1,0.06602765
2,0.010431275
3,-0.042635277
4,-0.09311516
5,-0.15936117
6,-0.21478769
7,-0.27555376
8,-0.34076983
9,-0.3857677
10,-0.43606988
11,-0.4796903
12,-0.5256055
13,-0.5794686
14,-0.6340417
15,-0.68182886
16,-0.7248364
17,-0.7709508
18,-0.7959572
19,-0.8154923
20,-0.8124226
21,-0.8003067
22,-0.79362684
23,-0.7829863
24,-0.7798399
25,-0.77974546
26,-0.8020126
27,-0.82926726
28,-0.8624596
29,-0.86822253
30,-0.82426846
31,-0.7666194
32,-0.7100625
33,-0.7008051
34,-0.6725398
35,-0.63197696
36,-0.60254294
37,-0.57309496
38,-0.5314412
39,-0.47116324
40,-0.3987642
41,-0.3275447
42,-0.26607263
43,-0.21889418
44,-0.17504683
45,-0.11019104
46,-0.008379996
47,0.05812043
48,0.089104824
49,0.09767738
50,0.17683445
51,0.2940604
52,0.41338325
53,0.50552326
54,0.5368315
55,0.5561403
56,0.57888997
57,0.6402298
58,0.7064329
59,0.7733649
60,0.8312764
61,0.8518041
62,0.8716452
63,0.9155334
64,0.96544075
65,1.0077513
66,1.036823
67,1.0607134
68,1.0760279
69,1.0872049
70,1.095329
71,1.1246443
72,1.1579981
73,1.1806445
74,1.1934093
75,1.197173
76,1.1896355
77,1.1691086
78,1.1494575
79,1.1290888
80,1.1029063
81,1.0786891
82,1.0496709
83,1.0261754
84,1.0034368
85,0.9755895
86,0.9450364
87,0.9052005
88,0.8556497
89,0.7871088
90,0.70734537
91,0.6358105
92,0.5744268
93,0.5089559
94,0.44525525
95,0.39109617
96,0.34058022
97,0.29524592
98,0.2584224
99,0.2490961
