,0
0,-6.0365224
1,-5.8198504
2,-5.705313
3,-5.5777793
4,-5.4001894
5,-5.2782817
6,-5.1323376
7,-4.9718575
8,-4.843964
9,-4.643696
10,-4.51107
11,-4.44243
12,-4.204851
13,-4.102216
14,-3.9031525
15,-3.7591727
16,-3.5731552
17,-3.4603324
18,-3.348516
19,-3.1199393
20,-3.0366135
21,-2.8602073
22,-2.7437954
23,-2.5262613
24,-2.3858953
25,-2.2219584
26,-2.0932941
27,-1.992013
28,-1.8342028
29,-1.6772426
30,-1.5585448
31,-1.443411
32,-1.2420697
33,-1.1122073
34,-0.8918819
35,-0.8005303
36,-0.640495
37,-0.50821745
38,-0.48069903
39,-0.50951093
40,-0.4500774
41,-0.44588983
42,-0.46411246
43,-0.3021527
44,-0.19888462
45,-0.041052073
46,0.10440025
47,0.20876259
48,0.39710617
49,0.5491055
50,0.6801612
51,0.79902494
52,0.90853894
53,1.0094451
54,1.2230442
55,1.3354831
56,1.5736979
57,1.6551704
58,1.7909341
59,1.8964106
60,2.002541
61,2.1865742
62,2.2940943
63,2.4527078
64,2.6256423
65,2.7620335
66,2.882897
67,3.0258305
68,3.100307
69,3.300519
70,3.4261918
71,3.608467
72,3.7089722
73,3.866759
74,4.0042872
75,4.1421065
76,4.2316937
77,4.4002147
78,4.506831
79,4.67495
80,4.762585
81,4.9102383
82,5.0695205
83,5.2061367
84,5.3631783
85,5.498849
86,5.620462
87,5.7475967
88,5.876895
89,6.020709
90,6.1162663
91,6.342574
92,6.485666
93,6.5851574
94,6.7032714
95,6.8316016
96,7.012377
97,7.1504245
98,7.282032
99,7.406682
