,0
0,7.7700157
1,7.7793956
2,7.895267
3,7.8906255
4,7.9982176
5,8.131066
6,8.142614
7,8.2117405
8,8.299726
9,8.319984
10,8.461676
11,8.476656
12,8.526267
13,8.625942
14,8.711304
15,8.785544
16,8.841389
17,8.922824
18,8.943569
19,9.098064
20,9.094656
21,9.183723
22,9.237026
23,9.324846
24,9.40238
25,9.5055685
26,9.546186
27,9.593436
28,9.652424
29,9.741409
30,9.767726
31,9.913975
32,9.897412
33,10.015511
34,10.094406
35,10.16169
36,10.190793
37,10.270462
38,10.390074
39,10.403052
40,10.486788
41,10.601893
42,10.682943
43,10.686996
44,10.7572975
45,10.839713
46,10.8996315
47,10.972141
48,11.137339
49,11.142114
50,11.1623125
51,11.241849
52,11.30157
53,11.399778
54,11.498405
55,11.548115
56,11.586719
57,11.6921215
58,11.75234
59,11.854709
60,11.84169
61,11.937941
62,12.016591
63,12.054367
64,12.165098
65,12.211371
66,12.292831
67,12.351858
68,12.423933
69,12.483525
70,12.502842
71,12.586164
72,12.723204
73,12.750145
74,12.820951
75,12.955597
76,13.029509
77,13.031596
78,13.150748
79,13.203763
80,13.245144
81,13.331831
82,13.417183
83,13.465548
84,13.487886
85,13.603633
86,13.663238
87,13.68486
88,13.828978
89,13.83383
90,13.987578
91,13.958506
92,14.093294
93,14.129612
94,14.220258
95,14.317537
96,14.317724
97,14.474991
98,14.457158
99,14.561144
