,0
0,-5.6835856
1,-5.515824
2,-5.355219
3,-5.1714935
4,-5.0960817
5,-4.880038
6,-4.7945557
7,-4.632913
8,-4.4796963
9,-4.3157005
10,-4.198431
11,-4.0395675
12,-3.9045813
13,-3.7326636
14,-3.560376
15,-3.455774
16,-3.2413907
17,-3.1515193
18,-2.9608924
19,-2.857633
20,-2.675424
21,-2.5806108
22,-2.453586
23,-2.2667804
24,-2.1338387
25,-1.8841811
26,-1.8234787
27,-1.6871445
28,-1.522164
29,-1.3524555
30,-1.1972214
31,-1.0475411
32,-0.8627683
33,-0.7773571
34,-0.6261057
35,-0.43138582
36,-0.24901153
37,-0.13769995
38,-0.18014163
39,-0.17695762
40,-0.16929
41,-0.14354537
42,-0.03741446
43,0.041074276
44,0.17231493
45,0.31871754
46,0.39506537
47,0.59548557
48,0.7014778
49,0.8811512
50,1.011179
51,1.1279272
52,1.257085
53,1.3569844
54,1.5032102
55,1.6900086
56,1.820501
57,1.9669075
58,2.0833652
59,2.2424235
60,2.395683
61,2.5034604
62,2.6438935
63,2.7494256
64,2.8914135
65,3.0585895
66,3.194362
67,3.3447528
68,3.4596505
69,3.55809
70,3.7681592
71,3.8803039
72,4.036161
73,4.1829004
74,4.3064804
75,4.4232316
76,4.5724754
77,4.677089
78,4.850561
79,4.981597
80,5.121877
81,5.29706
82,5.382655
83,5.587311
84,5.683062
85,5.824378
86,5.9934115
87,6.077132
88,6.2226305
89,6.409684
90,6.491321
91,6.650711
92,6.784758
93,6.9624457
94,7.0410557
95,7.1924734
96,7.35618
97,7.5115643
98,7.581716
99,7.7521715
