,0
0,7.5326667
1,7.603582
2,7.698777
3,7.726819
4,7.8287435
5,7.893187
6,7.932312
7,8.022457
8,8.11668
9,8.139614
10,8.248517
11,8.307623
12,8.384203
13,8.445787
14,8.478094
15,8.590162
16,8.668016
17,8.741285
18,8.782534
19,8.899477
20,8.940076
21,8.99131
22,9.061586
23,9.136602
24,9.168729
25,9.282481
26,9.354877
27,9.407305
28,9.460054
29,9.544175
30,9.632082
31,9.711999
32,9.755199
33,9.828359
34,9.891798
35,9.975952
36,10.035967
37,10.123357
38,10.198511
39,10.239913
40,10.278902
41,10.379658
42,10.452299
43,10.534679
44,10.5824995
45,10.658519
46,10.7434225
47,10.765009
48,10.875823
49,10.921946
50,10.99344
51,11.080978
52,11.144233
53,11.201489
54,11.279514
55,11.326696
56,11.387252
57,11.502521
58,11.560493
59,11.622021
60,11.670154
61,11.756955
62,11.848121
63,11.867554
64,11.947671
65,12.021011
66,12.107707
67,12.161436
68,12.233894
69,12.313213
70,12.378735
71,12.4453125
72,12.499209
73,12.56959
74,12.636072
75,12.711294
76,12.790381
77,12.827604
78,12.938989
79,12.984368
80,13.069363
81,13.12954
82,13.183378
83,13.270055
84,13.330867
85,13.408085
86,13.470004
87,13.57763
88,13.623012
89,13.67071
90,13.748613
91,13.787566
92,13.899406
93,13.972822
94,13.992021
95,14.116748
96,14.168671
97,14.197191
98,14.337119
99,14.328631
