,0
0,-5.875465
1,-5.7202415
2,-5.5668073
3,-5.438597
4,-5.2722692
5,-5.129357
6,-5.003547
7,-4.841034
8,-4.6818604
9,-4.552461
10,-4.393169
11,-4.2192745
12,-4.0908766
13,-3.9189086
14,-3.750886
15,-3.6297927
16,-3.5037727
17,-3.3412225
18,-3.197276
19,-3.030686
20,-2.9182916
21,-2.7376869
22,-2.59773
23,-2.4407558
24,-2.2902305
25,-2.1516151
26,-1.9811486
27,-1.8441848
28,-1.692702
29,-1.5587889
30,-1.4160249
31,-1.250416
32,-1.1072862
33,-0.987175
34,-0.7936322
35,-0.67989355
36,-0.5316231
37,-0.35233605
38,-0.33632934
39,-0.353215
40,-0.35478264
41,-0.32311907
42,-0.30306223
43,-0.17421019
44,-0.032140583
45,0.10931547
46,0.26242644
47,0.38195127
48,0.49943087
49,0.65431863
50,0.78916496
51,0.9119669
52,1.0793633
53,1.2369618
54,1.3296627
55,1.4643384
56,1.6389306
57,1.76887
58,1.8887078
59,2.040225
60,2.197359
61,2.3089821
62,2.452206
63,2.5879412
64,2.7310739
65,2.8518178
66,3.0296543
67,3.1407156
68,3.2940187
69,3.3939366
70,3.5682151
71,3.667971
72,3.8512597
73,3.9655023
74,4.0969453
75,4.2497706
76,4.3492975
77,4.5323133
78,4.6602936
79,4.781688
80,4.9195676
81,5.0531163
82,5.2118845
83,5.346995
84,5.4740324
85,5.6289186
86,5.7750597
87,5.8951807
88,6.010645
89,6.1657643
90,6.2874784
91,6.426495
92,6.5846367
93,6.7040887
94,6.8482337
95,6.9856315
96,7.1496444
97,7.265883
98,7.4285975
99,7.515762
