,0
0,-5.8025975
1,-5.645835
2,-5.4811625
3,-5.3636537
4,-5.1789885
5,-5.0771127
6,-4.929024
7,-4.7636986
8,-4.628387
9,-4.493974
10,-4.331963
11,-4.1531534
12,-4.02635
13,-3.869094
14,-3.6972213
15,-3.5839891
16,-3.4318686
17,-3.2759473
18,-3.1499834
19,-2.9844918
20,-2.835949
21,-2.686084
22,-2.5351593
23,-2.3847075
24,-2.2430127
25,-2.0771732
26,-1.9261366
27,-1.7892693
28,-1.625021
29,-1.4979066
30,-1.3562367
31,-1.1920025
32,-1.0538785
33,-0.921852
34,-0.74755234
35,-0.62320656
36,-0.46062347
37,-0.2901904
38,-0.2665208
39,-0.2872027
40,-0.3187198
41,-0.27112922
42,-0.24941294
43,-0.1329689
44,0.031161577
45,0.18243851
46,0.32220817
47,0.4344089
48,0.5732346
49,0.71346444
50,0.8592637
51,0.99172306
52,1.1453166
53,1.3005702
54,1.3957881
55,1.5437194
56,1.6880918
57,1.8301195
58,1.9527863
59,2.082089
60,2.2536135
61,2.38993
62,2.525418
63,2.6387458
64,2.7942338
65,2.9030826
66,3.0744636
67,3.239307
68,3.360661
69,3.4454536
70,3.6434162
71,3.721132
72,3.9035702
73,4.042978
74,4.167855
75,4.299743
76,4.4100657
77,4.6032553
78,4.722027
79,4.845556
80,4.987415
81,5.140651
82,5.2832947
83,5.408403
84,5.55373
85,5.683401
86,5.824049
87,5.9634275
88,6.087413
89,6.216437
90,6.347164
91,6.4953284
92,6.6672277
93,6.7520328
94,6.918818
95,7.030082
96,7.199064
97,7.314426
98,7.485365
99,7.5763574
