,0
0,3.1415927
1,3.173326
2,3.2050593
3,3.2367926
4,3.2685258
5,3.300259
6,3.3319924
7,3.3637257
8,3.3954587
9,3.427192
10,3.4589252
11,3.4906585
12,3.5223918
13,3.554125
14,3.5858583
15,3.6175916
16,3.649325
17,3.6810582
18,3.7127914
19,3.7445247
20,3.776258
21,3.8079913
22,3.8397245
23,3.8714578
24,3.903191
25,3.9349244
26,3.9666576
27,3.998391
28,4.030124
29,4.061857
30,4.0935907
31,4.125324
32,4.157057
33,4.18879
34,4.2205234
35,4.2522564
36,4.28399
37,4.315723
38,4.3474565
39,4.3791895
40,4.410923
41,4.442656
42,4.4743896
43,4.5061226
44,4.537856
45,4.569589
46,4.6013227
47,4.6330557
48,4.664789
49,4.696522
50,4.7282557
51,4.759989
52,4.7917223
53,4.8234553
54,4.855189
55,4.886922
56,4.9186554
57,4.9503884
58,4.982122
59,5.013855
60,5.0455885
61,5.0773215
62,5.109055
63,5.140788
64,5.1725216
65,5.2042546
66,5.235988
67,5.267721
68,5.2994547
69,5.3311877
70,5.362921
71,5.3946543
72,5.4263873
73,5.4581203
74,5.489854
75,5.521587
76,5.5533204
77,5.5850534
78,5.616787
79,5.64852
80,5.6802535
81,5.7119865
82,5.74372
83,5.775453
84,5.8071866
85,5.8389196
86,5.870653
87,5.902386
88,5.9341197
89,5.9658527
90,5.9975863
91,6.0293193
92,6.061053
93,6.092786
94,6.1245193
95,6.1562524
96,6.187986
97,6.219719
98,6.2514524
99,6.2831855
