,0
0,-8.742278e-08
1,-0.031728037
2,-0.063424036
3,-0.095056176
4,-0.1265926
5,-0.15800156
6,-0.18925142
7,-0.22031072
8,-0.25114796
9,-0.28173256
10,-0.31203344
11,-0.34202015
12,-0.3716625
13,-0.40093058
14,-0.42979497
15,-0.4582266
16,-0.48619682
17,-0.5136775
18,-0.54064095
19,-0.56706
20,-0.592908
21,-0.6181591
22,-0.64278775
23,-0.66676915
24,-0.69007915
25,-0.71269435
26,-0.7345919
27,-0.75574976
28,-0.77614665
29,-0.7957619
30,-0.81457615
31,-0.8325699
32,-0.84972537
33,-0.8660252
34,-0.88145334
35,-0.89599365
36,-0.90963197
37,-0.92235416
38,-0.93414783
39,-0.9450007
40,-0.95490223
41,-0.9638421
42,-0.9718116
43,-0.9788024
44,-0.9848078
45,-0.98982143
46,-0.9938385
47,-0.9968548
48,-0.99886733
49,-0.9998741
50,-0.9998741
51,-0.99886733
52,-0.9968548
53,-0.9938385
54,-0.98982143
55,-0.9848077
56,-0.9788024
57,-0.9718116
58,-0.9638421
59,-0.95490223
60,-0.9450007
61,-0.93414783
62,-0.92235416
63,-0.90963197
64,-0.8959936
65,-0.8814533
66,-0.8660252
67,-0.84972537
68,-0.8325696
69,-0.81457585
70,-0.7957616
71,-0.77614635
72,-0.7557496
73,-0.73459184
74,-0.71269417
75,-0.69007915
76,-0.66676897
77,-0.64278775
78,-0.61815894
79,-0.592908
80,-0.56705976
81,-0.5406409
82,-0.51367724
83,-0.4861968
84,-0.45822635
85,-0.42979494
86,-0.40093035
87,-0.37166247
88,-0.34201992
89,-0.3120334
90,-0.2817323
91,-0.25114793
92,-0.22031024
93,-0.18925117
94,-0.15800107
95,-0.12659234
96,-0.09505568
97,-0.063423775
98,-0.031727538
99,1.7484555e-07
