,0
0,-0.14595656
1,0.051617444
2,-0.1429017
3,-0.052945852
4,-0.28611574
5,-0.25711495
6,-0.43861383
7,-0.45073608
8,-0.40494466
9,-0.31871855
10,-0.4999019
11,-0.7415208
12,-0.78814554
13,-0.7544543
14,-0.59596777
15,-0.91572416
16,-1.0576317
17,-0.8902477
18,-0.7779803
19,-0.8518071
20,-0.97218907
21,-1.0006068
22,-1.060166
23,-0.88823515
24,-1.0577892
25,-1.1091486
26,-1.1382029
27,-0.8490839
28,-1.0339512
29,-0.8721028
30,-1.0682584
31,-0.8513819
32,-0.81250775
33,-0.8039043
34,-0.78486484
35,-0.83444685
36,-0.80525595
37,-0.6629497
38,-0.6283569
39,-0.53710294
40,-0.59451115
41,-0.48828197
42,-0.44586968
43,-0.46280926
44,-0.25757805
45,-0.28972408
46,-0.43093818
47,-0.034155145
48,-0.24658366
49,-0.120664686
50,0.06450984
51,0.1970823
52,0.15903182
53,0.26178437
54,0.11315407
55,0.26048076
56,0.55710524
57,0.35675755
58,0.5878694
59,0.6671587
60,0.43197423
61,0.7456043
62,0.625213
63,1.0073569
64,0.7158155
65,0.9032464
66,1.0129383
67,0.87808716
68,1.0126828
69,1.0153931
70,0.95621413
71,1.1438789
72,0.8477792
73,1.0868522
74,1.2098358
75,1.0746528
76,1.0402237
77,0.9920385
78,0.9116336
79,0.8254678
80,1.0796418
81,1.1089953
82,0.892549
83,0.75553524
84,0.6444411
85,0.71633786
86,0.99011755
87,0.7632883
88,0.5386389
89,0.5950936
90,0.50696015
91,0.32372913
92,0.44993743
93,0.22735193
94,0.25343508
95,0.13496384
96,0.18685551
97,0.05442006
98,0.051974516
99,-0.034866698
