,0
0,7.405379
1,7.4892097
2,7.53766
3,7.606316
4,7.7165656
5,7.748411
6,7.781831
7,7.903196
8,7.9449954
9,8.063359
10,8.069657
11,8.160011
12,8.222
13,8.316604
14,8.396366
15,8.439961
16,8.531857
17,8.571861
18,8.632463
19,8.731447
20,8.821362
21,8.894544
22,8.950487
23,9.002058
24,9.058418
25,9.1194935
26,9.219552
27,9.332569
28,9.3516865
29,9.444814
30,9.478624
31,9.5512705
32,9.613726
33,9.66741
34,9.746065
35,9.774226
36,9.957413
37,10.012971
38,10.050052
39,10.096965
40,10.17914
41,10.221214
42,10.325817
43,10.378308
44,10.434185
45,10.561428
46,10.552551
47,10.655417
48,10.672389
49,10.810304
50,10.876494
51,10.933737
52,10.9498205
53,11.038294
54,11.15456
55,11.180217
56,11.212694
57,11.290147
58,11.348878
59,11.476122
60,11.546051
61,11.642112
62,11.656709
63,11.74277
64,11.830496
65,11.905518
66,11.922833
67,12.020085
68,12.125988
69,12.191827
70,12.195636
71,12.323513
72,12.418328
73,12.447986
74,12.544156
75,12.610205
76,12.641483
77,12.721058
78,12.754294
79,12.86175
80,12.901046
81,12.996966
82,13.0618
83,13.079489
84,13.243839
85,13.269053
86,13.333933
87,13.424561
88,13.482059
89,13.5488615
90,13.614249
91,13.678193
92,13.816202
93,13.814059
94,13.879086
95,13.968249
96,14.061117
97,14.088933
98,14.13517
99,14.222432
