,0
0,7.6127267
1,7.6635804
2,7.755595
3,7.788558
4,7.8824544
5,7.9596515
6,7.99909
7,8.095104
8,8.179426
9,8.207602
10,8.301225
11,8.363613
12,8.441595
13,8.5012
14,8.547508
15,8.619331
16,8.720165
17,8.806721
18,8.841097
19,8.9556675
20,9.008285
21,9.070297
22,9.1180935
23,9.19162
24,9.239324
25,9.341964
26,9.408346
27,9.466604
28,9.519592
29,9.613025
30,9.692265
31,9.766278
32,9.81461
33,9.873887
34,9.945765
35,10.035263
36,10.082113
37,10.19119
38,10.251215
39,10.276433
40,10.334612
41,10.438789
42,10.502491
43,10.565193
44,10.624669
45,10.714917
46,10.806424
47,10.819557
48,10.929948
49,10.986858
50,11.058249
51,11.141432
52,11.202716
53,11.250569
54,11.322556
55,11.383055
56,11.456265
57,11.5759
58,11.622351
59,11.672358
60,11.734521
61,11.81825
62,11.909507
63,11.951515
64,12.008016
65,12.097588
66,12.147801
67,12.218668
68,12.311281
69,12.360571
70,12.445431
71,12.500742
72,12.564578
73,12.618719
74,12.6810665
75,12.770275
76,12.835801
77,12.906912
78,13.010001
79,13.04283
80,13.127041
81,13.183873
82,13.242725
83,13.32108
84,13.3764105
85,13.458067
86,13.526986
87,13.641637
88,13.673102
89,13.738174
90,13.822351
91,13.848626
92,13.956085
93,14.026926
94,14.072215
95,14.165538
96,14.216791
97,14.255943
98,14.3856535
99,14.428945
