,0
0,-3.1415927
1,-3.0781262
2,-3.0146596
3,-2.951193
4,-2.8877268
5,-2.8242602
6,-2.7607937
7,-2.6973271
8,-2.6338606
9,-2.570394
10,-2.5069275
11,-2.443461
12,-2.3799944
13,-2.316528
14,-2.2530615
15,-2.189595
16,-2.1261284
17,-2.062662
18,-1.9991953
19,-1.9357289
20,-1.8722624
21,-1.8087958
22,-1.7453294
23,-1.6818628
24,-1.6183963
25,-1.5549297
26,-1.4914632
27,-1.4279968
28,-1.3645302
29,-1.3010637
30,-1.2375972
31,-1.1741307
32,-1.1106641
33,-1.0471976
34,-0.9837311
35,-0.9202646
36,-0.85679805
37,-0.7933315
38,-0.729865
39,-0.6663985
40,-0.602932
41,-0.5394654
42,-0.47599894
43,-0.41253242
44,-0.3490659
45,-0.28559938
46,-0.22213286
47,-0.15866634
48,-0.09519982
49,-0.031733304
50,0.031733215
51,0.095199734
52,0.15866625
53,0.22213277
54,0.2855993
55,0.3490658
56,0.41253233
57,0.47599885
58,0.53946537
59,0.60293186
60,0.6663984
61,0.72986495
62,0.79333144
63,0.85679793
64,0.9202645
65,0.98373103
66,1.0471976
67,1.110664
68,1.1741306
69,1.2375971
70,1.3010635
71,1.3645301
72,1.4279968
73,1.4914633
74,1.5549297
75,1.6183963
76,1.6818628
77,1.7453294
78,1.8087959
79,1.8722624
80,1.9357289
81,1.9991955
82,2.062662
83,2.1261284
84,2.189595
85,2.2530615
86,2.316528
87,2.3799946
88,2.443461
89,2.5069275
90,2.570394
91,2.6338606
92,2.6973271
93,2.7607934
94,2.82426
95,2.8877265
96,2.951193
97,3.0146596
98,3.0781262
99,3.1415927
